group,date,text,url
news_lv,2025-07-17 06:03:13+00:00,"🇺🇦🇱🇻🇵🇱🚍**ТЦК используют для мобилизации в ряды ВСУ автобусы с номерами Латвии и Польши**

ТЦК на Украине используют автобусы с иностранными номерами, обычно Латвии или Польши, для проведения насильственной мобилизации, рассказал РИА Новости пленный военнослужащий ВСУ из Львова Петр Климишевский. 

""Бусификация это называется. Ездит бусик с иностранными номерами. Обычно либо Латвия, либо Польша. В бусике присутствуют до пяти ""быков"", - рассказал пленный. 

По его словам, в последнее время в машине также ездит полицейский, чтобы людям было сложнее ""отбиться"".
Пленный добавил, что мобилизация во Львове усилилась в последние полтора года. ""Последнее время людей прямо похищают с улицы"", - сказал он.

@news_lv",https://t.me/news_lv/55762
news_lv,2025-07-16 17:42:05+00:00,"**🇱🇹🧨 В Литве взрывают бункеры для тестов**

На полигоне имени генерала Сильвестраса Жукаускаса в Пабраде со вторника проводятся испытания бункеров различных типов путем их подрыва, сообщили в литовской армии.

По словам военных, они имитируют ""стандартные российские артиллерийские снаряды"" путем подбора необходимого взрывчатого вещества, а затем определяются давление, звук, вибрация стен в бункере и другие параметры, возникающие при взрыве

""Это делается для того, чтобы выяснить, защищает ли бункер, который на первый взгляд может казаться неповрежденным во время атаки, находящийся в нем личный состав, и, принимая во внимание результаты и затраты на возведение бункеров, определить наиболее подходящие материалы для возведения такого типа укрытия для солдат"", — подчеркивают военные.

@news_lv",https://t.me/news_lv/55755
news_lv,2025-07-16 15:54:01+00:00,"**📸🌹В Кемери сейчас такая красота **

В городском парке перед бывшим санаторием Ķemeri цветут 2550 кустов роз. 

@news_lv",https://t.me/news_lv/55743
news_lv,2025-07-16 08:04:01+00:00,"🇪🇺🇺🇸🇺🇦**Каллас заявила, что раз Европа заплатит США за оружие для Киева, то это - не американская помощь**

Глава евродипломатии Кая Каллас заявила, что если ЕС платит за американское оружие, то это европейская поддержка, и что США должны разделить “бремя”вооружения Украины.

""Если вы обещаете предоставить оружие, но говорите, что за него заплатит кто-то другой, то на самом деле вы его не предоставляете"", - сказала Каллас.

Президент США Дональд Трамп 11 июля объявил, что НАТО будет платить за американское оружие, которое альянс будет поставлять Украине. В понедельник он сообщил, что будущие поставки военной помощи киевскому режиму будут включать батареи Patriot, при этом некоторые страны передадут Киеву имеющиеся у них системы ПВО Patriot, а Америка восполнит их арсеналы новыми комплексами.

@news_lv",https://t.me/news_lv/55718
news_lv,2025-07-15 15:25:08+00:00,"**Ринкевичс получил медаль от президента Косово**

Во вторник президент самопровозглашенного Косово Вьоса Османи-Садриу вручила президентскую военную медаль Национальным вооруженным силам (НВС) Латвии за вклад в укрепление мира и безопасности в ходе миротворческой операции НАТО в Косово (KFOR).

Латвия регулярно отправляет в Косово своих солдат, да и сам Ринкевичс любит [наведываться](https://t.me/news_lv/49996) в страну в гости.

Напомним, НАТО нарастила свой контингент в Косово после обострения в регионе в конце 2023 года, когда в результате вооруженного нападения погиб один из косовских силовиков.

Президент Сербии Александр Вучич позднее пояснил, что косовские полицейские убили трех сербов, а представители натовского контингента фактически помогали местной полиции в операции против сербов.

Вучич подчеркнул, что после этого инцидента Белград никогда не признает независимость Косово.

@news_lv",https://t.me/news_lv/55696
i20028843,2025-07-17 12:22:46+00:00,"🚨🚨🚨 IMPORTANT : The commander of the U.S. Army in Europe and Africa and commander of NATO ground forces, Christopher Donahue, says the alliance has planned operational suppression of the defensive potential of Russian forces in the Kaliningrad region.

If you look at the Kaliningrad region..., it is surrounded by NATO countries on all sides. 
There is absolutely no reason why, in order to deter Russia, we cannot suppress the A2AD (Anti-Maneuver and Access Area) zone from the ground... faster than we ever could. 
We have already planned and developed (the necessary potential),"" he said, speaking at a conference in Germany🚨🚨🚨",https://t.me/i20028843/254036
i20028843,2025-07-17 04:57:33+00:00,⚡️⚡️⚡️Colombia's President Gustavo Petro said he wants his country to renounce its global partnership with NATO⚡️⚡️⚡️,https://t.me/i20028843/253988
i20028843,2025-07-16 19:50:41+00:00,"⚡️😂⚡️A State Department spokeswoman Tammy Bruce declined to answer reporters' question about how many NATO members have given consent to pay for additional U.S. arms supplies to Ukraine

I will not discuss what we can or cannot discuss or diplomatic discussions. 
I'm certainly not in a position to discuss what the NATO leadership might say.

Pentagon spokesman Sean Parnell reported Tuesday that the agreement for U.S. arms supplies to Ukraine with European money is still at a ""very early stage⚡️😂⚡️",https://t.me/i20028843/253955
i20028843,2025-07-16 17:00:36+00:00,"⚡️⚡️⚡️Financial Times reported that Taiwan's military has begun urban combat training against Chinese military forces.

Units have been ""holding the defense"" directly in the streets of the capital to better prepare for a possible attack by China and raise public awareness of what such a crisis would entail. 
At dawn, a squad of military police armed with Javelin anti-tank missile systems emerged from Taipei's subway station and, running past closed storefronts, took up combat positions.

In other parts of the city, the army's logistics support command used the high-speed public transportation system to deliver ammunition and supplies from the eastern district⚡️⚡️⚡️",https://t.me/i20028843/253941
slavaded1337,2025-07-17 10:21:57+00:00,"**Молдавский политик Ренато Усатый заявил, что власти Молдовы согласовывают приезд в страну российских артистов с главой офиса президенты Украины (!!!) Ермаком, передает издание Point.**

__""Я лично разговаривал с премьер-министром Речаном по телефону. Он мне сказал, для того, чтобы группа ""Руки вверх"" и другие заехали в страну, нужно выйти на Андрея Ермака, главу Офиса президента Украины. Если он скажет, тогда мы запустим, по-другому мы не запустим. Мне дана была рекомендация согласовать въезд артистов с Андреем Ермаком и со спецслужбами других стран"", - заявил Ренато Усатый.__

[Дядя Слава. Подписаться.](https://t.me/+RqE-P04Bypbunkq-)",https://t.me/slavaded1337/79995
slavaded1337,2025-07-17 09:20:06+00:00,"**Мобилизация во Львове**

Парень вышел из квартиры выгулять собаку, тут в подъезде его и схватили.

[Дядя Слава. Подписаться.](https://t.me/+RqE-P04Bypbunkq-)",https://t.me/slavaded1337/79992
slavaded1337,2025-07-17 08:21:29+00:00,"По нашему бойцу ударил FPV дрон, но не сдетонировал. 

После этого солдат взял дрон и пошел бить его об дерево. Ибо нефиг.

[Дядя Слава. Подписаться.](https://t.me/+RqE-P04Bypbunkq-)",https://t.me/slavaded1337/79987
slavaded1337,2025-07-16 13:22:36+00:00,"Армия обороны Израиля заявляет: «Мы готовимся к нескольким дням боев с сирийской армией».

[Дядя Слава. Подписаться.](https://t.me/+RqE-P04Bypbunkq-)",https://t.me/slavaded1337/79965
slavaded1337,2025-07-16 06:56:43+00:00,"**«Если Путин и другие интересуются, что произойдет на 51-й день, я бы посоветовал им позвонить аятолле», — американский сенатор пригрозил России повторением судьбы Ирана, если Кремль проигнорирует ультиматум Трампа**

🤡

[Дядя Слава. Подписаться.](https://t.me/+RqE-P04Bypbunkq-)",https://t.me/slavaded1337/79934
zeradaglobal,2025-07-15 19:11:45+00:00,"🇺🇸🧩🇷🇺 **Reuters**: __President Vladimir Putin intends to keep fighting in Ukraine until the West engages on his terms for peace, unfazed by Donald Trump's threats of tougher sanctions, and his territorial demands may widen as Russian forces advance.

Putin's conditions for peace include a legally binding pledge that NATO will not expand eastwards, Ukrainian neutrality and limits on its armed forces, protection for Russian speakers who live there, and acceptance of Russia's territorial gains. He is also willing to discuss a security guarantee for Ukraine involving major powers, though it is far from clear how this would work. 

Despite several telephone calls between Trump and Putin, and visits to Russia by U.S. special envoy Steve Witkoff, the Russian leader believes there have not been detailed discussions of the basis for a peace plan__. 

**This is mostly accurate. We'll add that complete disregard is unlikely - Russia will certainly make a counterproposal☝️**",https://t.me/zeradaglobal/4152
