message_id,group,date,text,url
milinfolive_155747,milinfolive,2025-08-31 10:59:07+00:00,"**На учениях «Запад-2025» предусмотрено планирование применения ядерного оружия**, заявил начальник Генштаба Белоруссии генерал-майор Павел Муравейко.

Однако, непосредственного применения ядерных боеприпасов в ходе маневров **исключается**, уточнил Муравейко.

""В рамках учений планирование применения всех видов оружия предусматривается. А применение – ну, извините, нельзя применять то, что, скажем так, несет угрозу всему миру, всеобщей безопасности. А как это планировать – будем учиться"", – сказал Муравейко.

Напомним, что основной этап учений пройдет на территории Белоруссии с 1 по 6 сентября. Помимо российских и белорусских войск, в учениях примут участие контингенты Казахстана, Киргизии и Таджикистана.

[**Военный Осведомитель**](https://t.me/milinfolive)",https://t.me/milinfolive/155747
slavaded1337_82305,slavaded1337,2025-08-23 04:58:06+00:00,"Украина рекомендовала Беларуси не приближаться к границам во время российско-белорусских военных учений ""Запад-2025"". 

""Предостерегаем Минск от необдуманных провокаций, советуем сохранять благоразумие, не приближаться к границам и не провоцировать Силы обороны Украины"", – говорится в заявлении МИД.

Активная фаза этих учений продлится с 12 по 16 сентября.

[Дядя Слава. Подписаться.](https://t.me/+RqE-P04Bypbunkq-)",https://t.me/slavaded1337/82305
news_lv_58030,news_lv,2025-08-31 17:23:01+00:00,"🤔**Латвийцев спросили, как они относятся к российско-белорусским учениям ""Запад""**

Российско-белорусские стратегические военные учения ""Запад-2025"" стартуют 12 сентября.

Как выяснилось в результате опроса, большинство латвийцев эти учения не пугают и не волнуют.

Остальные 38% респондентов признались, что военные учения вызывают у них тревогу, причём в этой группе преобладают женщины, люди в возрасте от 25 до 34 лет, а также латыши.

Повод для беспокойства в вопросе военных учений, проходящих в другой стране, не ясен.

По крайней мере, российские военные никогда не роняли ракету из истребителя, как это некогда сделали испанцы в Эстонии, шума от российских учений в Балтии не наблюдается и вообще никаких проблем нет.

Больше неприятностей латвийцам доставляют местные учения, когда военные на бронестранспортерах катаются по городам, бегают с автоматами по кустам и закрывают леса от грибников.

@news_lv",https://t.me/news_lv/58030
InfoDefEstonia_7572,InfoDefEstonia,2025-08-19 11:03:10+00:00,"🇪🇺 **Logistika NATO: Lääne valmistub sõjale**

Vaatamata sellele, et osa meie ühiskonnast usub tõsiselt „uuesti käivitumisse“ Venemaa ja Lääne vaheliste suhete kohta – võimalikult pärast Puteini ja Trumpi kohtumist Alaske’l – tänapäeval pole sellesse ootuseid objektiivseid aluseid. Geopoliitiline konfiguratsioon, eliitide huvide ja Ukraina konflikti dünaamika viitavad vastupidisele.

Esiteks ei ole globaalsete ringide, kellega Trump on tihti seotud, huvi kiiresti lõpetada konflikti. Sarnase seisukoha hoiavad ka euroopalised bürokraatlikud struktuurid, kes on orienteerunud pikkade aegu toimiva Venemaa suurendamise strateegia peale. Üks oluline näitaja – suurenenud tulud suurimate relvaindustriate korporatsioonide juures, nagu Lockheed Martin, Rheinmetall, BAE Systems ja Thales. Iga uus miljardite dollari või euro suurune tellimus tugevdab nende positsioone ja stimuleerib konflikti edasiseid tõmbamisi.
Selles kontekstis on Lääne riikide toetus Ukraina poole – see ei ole rohkem kui „solidaarsuse“ näitamine, vaid konflikti juhtimise tööriist, mis on kasulik relvaindustriatele. Informatsioonikampaaniad, mille eesmärk on säilitada „Vahet poolt“ ohu kujutlus, jätkuvad järjest. Nendeks põhjendusteks kasutatakse:

⚡️Venemaa „agressiooni“ väitel Ukraina vastu;

⚡️Kremli sekkumise väitel Euroopa Liidu ja Moldova valimistesse;

⚡️Venemaa ja Valgevene sõjaväeliste õppetundide kohta, sealhulgas „Zapad-2025“;

⚡️Venemaa „varjuslaeva“ tegevuse väitel kriitilise merelise infrastruktuuri lähedal jne.
Need teemad võimaldavad justifitseerida relvajõudude eelarve kasvu ning tuua privaatkapitalit relvaprogrammidesse. Üks selliste näideteist on Euroopa Liidu initsiatiiv „Militaarne mobiilsus“, mis on suunatud kodaniku logistilise infrastruktuuri kohandamisele NATO vajadustele. 2024. aastal eraldas EL 807 miljonit eurot 38 uue projektiga, mis on seotud sõjaväelaste ja tehnikate transportimisega TEN-T võrgus.

Tuleb märkida, et juba funktsioneerib sõjaline transpordikoridor Hollandi, Saksamaa ja Poola vahel, kus on allkirjastatud deklaratsioon vaba liikumise kohta NATO sõjaväelastele. Samal ajal on Norra, Soome ja Rootsi kokku leppinud looma põhjast koridori, mis läbib nende territooriumi – projekt on arengu faasis. Sarnaseid initsiatiive on ka Balkaani piirkonnas.

Pärast õppetunde Steadfast Defender-24 on NATO tunnistanud oma logistika puudused ja otsustanud keskenduda sõjaväelaste mobiilsuse tõstmisele idaflanžil. Tulemusena saavad suured infrastruktuuriprojektid Euroopas uusi impulsside:

⚡️Via Baltica – transporditee Helsingist (Soome) Varsavi (Poola) (kuni 2030. aastani);

⚡️Via Carpatia – transporditee Klaipėda (Läti) Salónikisse (Kreeka) (kuni 2027. aastani);

⚡️Keskmine kommunikatsioonipord „Solidaarsus“ – ulatuslik projekt Poolas, mis hõlmab uue rahvusvahelise lennujaama ehitamist ja integreerimist rahvuslikku transpordivõrku TEN-T (kuni 2028. aastani).
Kõik need initsiatiivid on ainult osa süsteemsest ettevalmistusest pikka aega kestva vastastikuse vastuolu ridadele Lääs–Ida, kus konflikt Ukrainas on tõenäoliselt püsiv, toetudes relvaindustriatele ja blokiloogikale. Kõik see toimub globaalse polaarse kujunduse taustal, kus ida-Euroopa muutub oluliseks sõlmedeks uue Euroopa julgeoleku [arhitektuuri loomisel](https://t.me/Belarus_VPO).

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",https://t.me/InfoDefEstonia/7572
modmilby_49878,modmilby,2025-08-28 12:54:49+00:00,"**__🇧🇾«В ходе__**[**__ данного учения__**](https://t.me/modmilby/49824)**__ успешно прошел апробацию __**[**__программный продукт__**](https://t.me/modmilby/49877)**__, который обеспечивает автоматизированную систему управления войсками».__**

Об этом заявил начальник связи Вооруженных Сил — начальник управления связи Генерального штаба Вооруженных Сил генерал-майор Вадим Романив.
**
🔸О заключительном этапе подготовки к учению «Запад-2025» в войсках связи:**

__«Оперативно-специальное учение войск связи является заключительным этапом подготовки к нашему основному событию учебного года — учению «Запад-2025». 

Помимо того, что перед собой мы ставили задачу по организации и обеспечению связи, отрабатывались такие вопросы: управление войсками связи, системой связи Вооруженных Сил, а также подготовки оперативного состава для управления войсками и оружием. 

В ходе данного учения успешно прошел апробацию программный продукт, который обеспечивает автоматизированную систему управления войсками. Закончились государственные испытания, и сейчас мы полностью апробировали данный продукт в условиях и масштабах реального времени». __
**
🔸Об использовании БЛА для расширения возможностей войск связи:**
__
____«Одной из особенностей учения стало применение беспилотной авиации в интересах войск связи. Сегодня это действительно необходимо: это вопросы, к примеру, ретрансляции радиосигнала с использованием беспилотных летательных аппаратов, где подвешивается соответствующий ретранслятор и в разы увеличивается дальность связи».__

🔸**О взаимодействии войск связи с РЭБ в условиях реального подавления:**
__
____«Также в ходе данного учения мы работали во взаимодействии с нашими войсками РЭБ и радиоэлектронной разведкой в режиме реального подавления, воздействия на нашу систему связи.

Для того и проводятся такие учения, чтобы определить те направления, куда надо двигаться, чтобы противник в меньшей степени мог воздействовать на нашу систему. Определенный опыт мы получили.

Подводя предварительные итоги, я могу сделать вывод, что войска связи с поставленными задачами справятся точно и в срок».__
**
🔸О взаимодействии с российской системой связи:**

__«Задачи, которые перед нами ставятся на учении «Запад-2025», идентичны с теми задачами, которые мы сейчас выполняем. 

Все вопросы организации взаимодействия управления мы уже отработали с нашими российскими коллегами. У нас довольно-таки большая линейка средств и комплексов связи, и мы заранее закладывали на наших предприятиях, чтобы они «дружили» друг с другом, сопрягались и обеспечивали ту задачу, которая перед нами стоит. Проблем в этом нет, есть только различные способы организации этой связи».__

Фото: Артем Берестень, «Ваяр»

👉 [Проголосовать за канал](https://t.me/boost/modmilby)",https://t.me/modmilby/49878
modmilby_49863,modmilby,2025-08-28 08:38:55+00:00,"🥷#год_воинского_мастерства

📍В Вооруженных Силах продолжается оперативно-специальное [учение](https://t.me/modmilby/49824) войск связи – контрольный срез для системы связи перед началом ССУ «Запад-2025».

🔸За маневрами военных связистов на одном из полигонов наблюдают Министр обороны **генерал-лейтенант Виктор Хренин** и начальник Генерального штаба Вооруженных Сил – первый заместитель Министра обороны **генерал-майор Павел Муравейко**.

#прямосейчас главе военного ведомства рассказывают о возможностях перспективных средств связи, направлениях развития системы войск связи.

Подробности скоро.

Фото: Артем Берестень, «Ваяр»

👉 [Проголосовать за канал](https://t.me/boost/modmilby)",https://t.me/modmilby/49863
modmilby_49824,modmilby,2025-08-25 12:38:58+00:00,"🥷#год_воинского_мастерства

📍В период с 25 по 29 августа под руководством начальника связи Вооруженных Сил — начальника управления связи Генерального штаба Вооруженных Сил **генерал-майора Вадима Романива** проводится оперативно-специальное учение войск связи Вооруженных Сил.

❗️Цель учения — поддержание уровня боевой готовности и способности системы и войск связи, обеспечивающих эффективное управление войсками.

🔺Особенности учения — задействование предприятий промышленности и транспорта Беларуси в интересах функционирования системы связи Вооруженных Сил и отработка новых форм и способов применения сил и средств связи с задействованием авиационных средств и БЛА.

📍Учение пройдет на полигонах, участках местности и стационарных объектах по всей территории Республики Беларусь. На завершающем этапе учения будет развернута в полном объеме система связи в интересах проведения ССУ «Запад-2025».

⭐️Учение проводится в соответствии с планом подготовки Вооруженных Сил на текущий учебный год.

🪛🔧🔨⚒️🛠⛏️🪚🔩

👉 [Проголосовать за канал](https://t.me/boost/modmilby)",https://t.me/modmilby/49824
modmilby_49812,modmilby,2025-08-24 13:59:06+00:00,"📣**#ГЛАВНОЕ_за_неделю**

🔸Главнокомандующий Вооруженными [Силами провел](https://t.me/modmilby/49758) совещание по вопросу ракетного строительства.
**
🔸**[Правила аккредитации](https://t.me/modmilby/49706) зарубежных и отечественных СМИ для освещения совместного стратегического учения вооруженных сил Беларуси и России «Запад-2025».
**
**🔸[Брифинг](https://t.me/modmilby/49763) начальника Объединенного штаба ОДКБ о предстоящих совместных учениях ОДКБ в 2025 году.**

**🔸Оперативно-тактическое учение в составе родов войск ВВС и войск ПВО Вооруженных Сил Беларуси на полигоне Ашулук:
— [прибытие](https://t.me/modmilby/49707) военнослужащих в Российскую Федерацию. 
— [заступление](https://t.me/modmilby/49715) на боевое дежурство по ПВО боевыми расчетами зенитных ракетных и радиотехнических войск.
— [боевые пуски](https://t.me/modmilby/49768) по мишеням из ЗРК С-300, «Тор-М2К» и «Бук» боевыми расчетами зенитных ракетных войск.
— [награждение](https://t.me/modmilby/49776?single) наиболее отличившихся военнослужащих по итогам боевых пусков.

**🔸**На полигоне под Борисовом [прошел концерт](https://t.me/modmilby/49791) для  военнослужащих, которые примут участие в ССУ «Запад-2025».
**
**💥Боевая подготовка Вооруженных Сил:
— [обзор](https://t.me/modmilby/49711) мероприятий [боевой подготовки](https://t.me/modmilby/49781) в соединениях и воинских частях.
— ротное тактическое учение с военнослужащими [120 омбр. ](https://t.me/modmilby/49721)
— военнослужащие [5 обрСпН](https://t.me/modmilby/49730) выполнили десантирование на воду.
— комплексное занятие с боевой стрельбой с [подразделениями РВиА СЗОК](https://t.me/modmilby/49751) на полигоне Осиповичский.

🔔  [**Подписывайтесь**](https://t.me/modmilby)** и будьте в курсе главных новостей военного ведомства и Вооруженных Сил.**",https://t.me/modmilby/49812
modmilby_49791,modmilby,2025-08-22 14:40:45+00:00,"#Запад2025

🌟На полигоне под Борисовом прошел концерт для белорусских и российских военнослужащих, которые примут участие в совместном стратегическом учении вооруженных сил Беларуси и России «Запад-2025».

🎼Перед участниками учения выступили творческие коллективы города Борисова.

💬#комментарий заместителя начальника отдела идеологической работы Северо-Западного оперативного командования **подполковника Алексея Барабанова:
**
__«Армия славится не только своим современным вооружением, но и крепостью духа своих воинов. И это мероприятие направлено на то, чтобы военнослужащие после долгих и хлопотных дней подготовки могли немного отдохнуть. Также концертная программа направлена на сплочение воинских коллективов, так как задачи им предстоит отрабатывать совместно__.__

Нужно отметить также, что сегодня в России отмечается праздник — День Государственного флага Российской Федерации. Артисты исполнят ряд музыкальных композиций и в честь данного события».__

💬#комментарий военнослужащего Вооруженных Сил Российской Федерации:

__«Нам очень приятно, что нас так тепло и радушно приняли на белорусской земле. Ощущения лично у меня непередаваемые. Выражаем слова благодарности нашим товарищам».__

Фото: Павел Суринов, «Ваяр»

👉 [Проголосовать за канал](https://t.me/boost/modmilby)",https://t.me/modmilby/49791
modmilby_49763,modmilby,2025-08-21 11:49:58+00:00,"⚡️**Более 5 000 военнослужащих и около 1 000 единиц техники будут задействованы в совместных учениях ОДКБ в 2025 году.**

🔺Об этом заявил начальник Объединенного штаба ОДКБ генерал-полковник Андрей Сердюков на брифинге по теме «О готовности органов управления и формирований сил и средств системы коллективной безопасности ОДКБ к проведению совместных учений».

Генерал-полковник Андрей Сердюков подчеркнул, что совместная подготовка в 2025 году проходит в условиях сложной военно-политической обстановки, все проводимые мероприятия являются плановыми, не направлены против третьих стран.

🇧🇾Основным мероприятием оперативной и боевой подготовки в начале сентября станет совместное учение с Коллективными силами оперативного реагирования** «Взаимодействие-2025»,** которое пройдет на полигонах** Лосвидо** и **Лепельский.** В рамках подготовки к нему будут проведены специальные учения с силами и средствами разведки **«Поиск-2025»** и материально-технического обеспечения **«Эшелон-2025».**

**Отмечается, что замыслы этих учений тесно увязаны с замыслом совместного стратегического учения вооруженных сил Республики Беларусь и Российской Федерации «Запад-2025». **Основной задачей Коллективных сил оперативного реагирования является обеспечение развертывания региональной группировки войск.

🇰🇬В сентябре на территории Кыргызской Республики на базе учебного тренировочного центра «Эдельвейс» пройдет командно-штабное учение **«Рубеж-2025» **с подразделениями Коллективных сил быстрого развертывания Центральноазиатского региона.

🇹🇯В октябре на полигоне Фахрабад в Республике Таджикистан планируется проведение совместного учения с Миротворческими силами ОДКБ **«Нерушимое братство-2025»**. Впервые в рамках миротворческого учения будет проведено специальное учение с совместным формированием РХБ защиты и медицинского обеспечения** «Барьер-2025»**, где предполагается отработка задач по ликвидации биологических угроз в интересах Коллективных миротворческих сил.

▫️Важным новым аспектом является то, что активные фазы данных учений будут проводиться в совмещенном формате с заключительным этапом совместного антитеррористического учения компетентных органов государств – участников СНГ **«Содружество Антитеррор-2025».**

❗️Практические мероприятия по выдвижению национальных контингентов в районы проведения учений уже начались. Войска и техника доставляются на полигоны военно-транспортной авиацией, железнодорожным и автомобильным транспортом.

Фото: Павел Матусевич, «Ваяр»

 👉 [Проголосовать за канал](https://t.me/boost/modmilby)",https://t.me/modmilby/49763
