group,date,text,url
alekseystefanov,2025-07-16 15:24:48+00:00,"США поставят для Украины вооружения на 300 млн. долларов, но заплатит за него Евросоюз, для Путина Трамп установил 50-дневный таймер — за это время, так хочет президент Соединенных Штатов, должен разрешиться конфликт между Россией и Украиной. 

И, наверное, если бы наши люди не читали газет и книг, не были эрудированы и не стремились разобраться во всем происходящем, то на диссонанс таких заявлений можно было бы не обращать внимания, но здесь ситуация иная: Трамп решил поиздеваться над Россией — мол, вот вам 50 дней с барского плеча, не решите конфликт — будут новые санкции, а пока вы его решаете, мы продолжим поставлять вашему противнику оружие, которое не даст вам закончить этот конфликт.

Трамп сегодня олицетворяет всю американскую власть, которую кормят оружейники — пока они производят и продают оружие, провоцируют конфликты по всему миру, у США все будет хорошо. А что будет с глупой Европой, которую подсадили на крючок оружейных поставок не только для Украины? Ну, не складировать же они будут это оружие?

При этом их смущают наши учения «Запад-2025». С чего бы вдруг и чего испугались?

Сегодня в программе 
✅интервью с [Андреем Богоделем](https://t.me/bogodel_a) — замначальника факультета Генштаба Военной академии Беларуси;
✅комментарий [Андрея Гурулёва](https://t.me/agurulev) — генерал-лейтенант в отставке, депутат Госдумы РФ.

[https://youtu.be/tTXMqVurk5k](https://youtu.be/tTXMqVurk5k)",https://t.me/alekseystefanov/12196
alekseystefanov,2025-07-04 14:31:08+00:00,"**Главное из новостей Европы и Ближнего Зарубежья за эту неделю**
[
](https://t.me/runeurope/18321)[Галопом по Европе:](https://t.me/runeurope/18376) Глава Госпогранкомитета Беларуси Константин Молостов рассказал о нюансах общения с западными странами. Живое общение и встречи по вопросам пограничного сотрудничества ушли в прошлое. Теперь взаимодействие сводится к служебной переписке, в рамках которой решаются технические вопросы и пограничные инциденты.

[Точка разлома: ](https://t.me/tchk14/890)Пентагон разводит руками – запасы оружия для Украины на исходе. США вынуждены экстренно заморозить часть поставок, включая ракеты для Patriot, высокоточные снаряды и боеприпасы для F-16. Причина – критическое истощение арсеналов, подтверждённое главным стратегом Минобороны Колби.
[
](https://t.me/alekseystefanov)[Алексей Стефанов:](https://t.me/alekseystefanov/12133) Служба госбезопасности Латвии следит за каждым шагом любого жителя, который говорит на русском и покушается, как им кажется, на латышский язык. Иначе никак и не объяснить заявление СГБ, что спецслужбы проверят воспитателя детского сада из Риги. В сообщении говорится, что она, находясь в Италии, заявила, что русскую речь там понимают, а «великий и могучий латышский язык» — нет.

[Живёт же Беларусь!:](https://t.me/ZhivetZheBelarus/47513) Александр Лукашенко объяснил изменение масштаба учений «Запад-2025». Он напомнил, что рядом с Беларусью проходят военные маневры НАТО — «Защитник Европы». По его словам, их масштаб и близость к белорусской границе создают угрозу.

[Тени Прибалтики:](https://t.me/tenipribaltiki/2735) В Польше ликвидировали банду украинцев. Банда из четырех граждан Украины занималась похищением нелегальных мигрантов на территории Польши и Латвии, сообщает Центральное бюро расследований польской полиции.

[Молот войны: ](https://t.me/milwarhummer/13276)Президент Республики Беларусь Александр Лукашенко объявил о планах по развертыванию новейшего ракетного комплекса средней дальности «Орешник» на территории страны до конца 2025 года. Власти страны также намерены продолжать развитие собственных военных технологий.

[Балтийский мост:](https://t.me/BalticBridge/4723) Год прошёл со дня учреждения в Латвии института партнёрства. За этот период в стране было официально зарегистрировано 613 партнёрств, из которых 235 — между однополыми парами, проинформировал Совет присяжных нотариусов Латвии.",https://t.me/alekseystefanov/12141
russicaRU,2025-07-05 16:10:17+00:00,"Александр Лукашенко, глава союзной Беларуси, публично обозначил отношение к конфликту с Украиной и в целом к украинцам. [""Это наши люди, мы с ними воевать не будем"".](https://t.me/pul_1/17419)

Как рассказал источник в Минске, по требованию Лукашенко учения «Запад-2025» (они планировались как учения вдоль границ стран Балтии и Польши с отработкой обеспечения коридора в Калининград) перенесены от западных границ Беларуси, чтобы не «создавать угроз странам НАТО». Белорусская сторона также сократила численный состав своего участия в  маневрах на территории Беларуси вдвое - до 8 тысяч человек. 

В 2021 году в совместных маневрах на территории России и Беларуси принимало участие до 200 тысяч военнослужащих. В этом году прогнозируется участие около 100 тысяч военнослужащих, в том числе за счет военнослужащих ЛенВО, Московского военного округа и Балтийского флота.  

Однако и эта цифра может быть уменьшена.",https://t.me/russicaRU/63657
russicaRU,2025-05-28 14:03:06+00:00,"Беларусь сокращает масштабы военных учений с Россией и уводит их от западных границ. Как сообщает **The Guardian, **в ходе запланированных на сентябрь учений «Запад-2025» будет **почти вдвое уменьшено количество участвующих белорусских солдат**. Их перебросят подальше от западной границы. Российские государственные СМИ сообщили, что первоначально в учениях должны были принять участие около 13 000 военнослужащих.
Глава Минобороны Беларуси Хренин заявил, что этот шаг призван **__«продемонстрировать нашим союзникам и партнерам по всему миру подлинно миролюбивую позицию Республики Беларусь».__**
В военных учениях «Запад» обычно участвуют десятки тысяч военнослужащих, которые демонстрируют свою силу вблизи западной границы Беларуси с ЕС и НАТО.
Президент Украины Зеленский в прошлом месяце предупредил, что **Россия «готовит что-то» в Беларуси, «используя военные учения в качестве прикрытия».** 
@rusbri
@brieflyru",https://t.me/russicaRU/63089
eestipost,2025-04-17 13:01:58+00:00,"🇷🇺⚔️ **Военный эксперт: России не нужно перемирие в Украине, чтобы переключиться на страны Балтии**
__Мнение журналиста Александра Горобца__

🔻 Учения «Запад-2025», запланированные на осень, вызывают тревогу: в них примут участие около 13 000 военнослужащих из России и Беларуси. Опасения усиливаются историческим прецедентом — такие же учения в 2021 году стали одним из этапов подготовки к вторжению в Украину.

📉 Европа сталкивается сразу с несколькими вызовами:
– торговое давление со стороны США и возможное обострение тарифной войны;
– неопределённость в рамках НАТО;
– рост военных рисков со стороны России.

💬 По мнению экспертов, **перемирие в Украине может даже усилить угрозу для Балтии и Восточной Европы**, ведь Москва получит возможность перераспределить силы — до **300 000 солдат** могут быть передислоцированы из Украины.

🇪🇪🇱🇻🇱🇹 Министры обороны Эстонии и Литвы ранее выступили против немедленного прекращения огня, поскольку считают, что **это даст Кремлю стратегическое преимущество**.

⚠️ Даже **ограниченное вторжение** может дестабилизировать ситуацию в одной из стран Балтии без масштабной переброски бронетехники — за счёт гибридных операций, диверсий и информационных атак. Такое развитие событий особенно вероятно, если внутри НАТО нет консенсуса, а США займут пассивную позицию.

🧨 **Финляндия уже реагирует** — наращивает расходы на оборону и планирует выйти из Оттавской конвенции о запрете противопехотных мин. За ней — Латвия, Литва, Эстония и Польша.

🛡 **НАТО признаёт риски «непреднамеренных инцидентов»**, особенно на фоне соглашения между РФ и Беларусью, позволяющего размещение российских войск в соседней стране на ближайшие 10 лет.

📌 Даже если США и Россия придут к временному соглашению по Украине, это не исключает **дальнейшего конфликта в Европе** — предупреждает автор. Российская экономика активно милитаризируется, и новые столкновения возможны уже в течение ближайших **5–10 лет**.",https://t.me/eestipost/5933
eestipost,2025-04-17 12:01:18+00:00,"🇷🇺⚠️ **Угроза от главы Службы внешней разведки РФ: страны Балтии и Польша — „первыми пострадают“**

Во время визита в Минск директор Службы внешней разведки России Сергей Нарышкин выступил с резкими заявлениями в адрес Польши, стран Балтии и НАТО.

🎙️ После встречи с Александром Лукашенко он обвинил западных соседей в «бряцании оружием» и заявил:

__«Польша хочет разместить вдоль границ с Беларусью и Калининградом два миллиона противотанковых мин и рассчитывает получить от США ядерное оружие».__

🧨 Нарышкин также намекнул на **возможность удара** по странам Балтии и Польше в случае конфликта:

__«Если НАТО нападёт на Союзное государство, первыми пострадают именно Польша и прибалтийские страны».__

🛡️ Эти высказывания прозвучали на фоне продолжающегося напряжения в Восточной Европе и подготовки к учениям **„Запад-2025“**, которые НАТО расценивает как потенциальную угрозу безопасности.",https://t.me/eestipost/5932
antifalivland,2025-06-19 06:01:01+00:00,"Совместные манёвры России и Белоруссии ""Запад-2025"", запланированные на осень, скорее являются элементом информационного давления, - считает командующий Национальными вооружёнными силами Латвии Каспарс Пуданс.

Какая прелесть! Какая непосредственность! Значит, учения ""Балттоп"", в ходе которых отрабатывался обезоруживаюший удар по Калининграду и Санк-Петербургу - это пальмовая ветвь мира, а ответные учения - угроза...

""Этодругин форте"" в действии!",https://t.me/antifalivland/14491
modmilby,2025-07-16 06:01:30+00:00,"🇧🇾**__«Республика Беларусь продолжает последовательно и непреклонно следовать по пути возвращения мира и стабильности в Восточноевропейский регион. Мы по-прежнему предлагаем военно-политическому руководству Республики Польша вернуться к равноправному и взаимоуважительному диалогу»,__** — генерал-майор Валерий Ревенко.

⭐️ Начальник Департамента международного военного сотрудничества – помощник Министра обороны по вопросам международного военного сотрудничества **генерал-майор Валерий Ревенко** обозначил позицию Республики Беларусь относительно возобновления добрососедских отношений с Республикой Польша. 

__🟢____«На фоне продолжающегося вооруженного конфликта в Украине дополнительным фактором, способствующим росту напряженности в Восточноевропейском регионе, является ускоренная милитаризация Республики Польша, явно превышающая оборонную достаточность. В 2025 году военный бюджет Польши достиг рекордных 4,7 процента ВВП.

Происходит активная закупка иностранных ударно-наступательных вооружений и наращивание мощностей национального военно-промышленного комплекса.

Проводятся практические мероприятия по формированию трех механизированных дивизий в восточных регионах страны (на удалении до 200 км от Государственной границы Республики Беларусь). 

В приграничных с нашей страной районах дополнительно сконцентрировано порядка 11 тыс. военнослужащих, сотрудников органов пограничной службы и полиции. Польское руководство также намерено выйти из Оттавской конвенции и разместить на границе с Беларусью противопехотные мины. 

Очередным шагом военно-политического руководства Польши в сторону нагнетания обстановки в регионе стало решение о проведении в ответ на плановое совместное стратегическое учение вооруженных сил Республики Беларусь и Российской Федерации «Запад-2025» серии дивизионных учений «Железный защитник» в восточных регионах страны. Она пройдет, несмотря на решение белорусской стороны о сокращении численности участников учения «Запад-2025». 

Тем не менее в подтверждение стремления к налаживанию диалога с польским военно-политическим руководством и с целью снижения потенциальных рисков вооруженных столкновений на фоне развертывания дополнительных сил и средств польской армии вблизи Государственной границы Республики Беларусь, **16 июня т.г. белорусское оборонное ведомство направило в адрес Республики Польша по сети связи Организации по безопасности и сотрудничеству в Европе официальное предложение в ближайшее время провести переговоры по линии верификационных ведомств посредством телефонной или видеосвязи**. 

**Мы исходим из того, что возобновление взаимодействия между верификационными центрами обоих государств может послужить первым, но весьма конкретным и показательным шагом на пути налаживания контактов между нашими государствами и стабилизации обстановки в регионе в целом. **

Однако по прошествии месяца от польской стороны был получен лишь формальный ответ, который не подразумевает восстановление добрососедских отношений с нашим государством. 

Республика Беларусь продолжает последовательно и непреклонно следовать по пути возвращения мира и стабильности в Восточноевропейский регион. В этой связи мы по-прежнему предлагаем военно-политическому руководству Республики Польша вернуться к равноправному и взаимоуважительному диалогу». __

⚡️Подробности [здесь.](https://www.mil.by/ru/news/178641/)

Фото из архива военного информационного агентства «Ваяр».

👉[Проголосовать за канал](https://t.me/boost/modmilby)",https://t.me/modmilby/49002
modmilby,2025-07-10 12:06:13+00:00,"⚡️**Не пропустите! Эксклюзивное интервью начальника Генерального штаба Вооруженных Сил генерал-майора Павла Муравейко уже в сети.**

📣Несколько спойлеров из [**большого интервью**](https://www.youtube.com/watch?v=nCt5YSmyCPY)** **обозревателю «СБ.Беларусь сегодня» [Людмиле Гладкой](https://t.me/lgbelarussegodnya):

🔥**О вероятности нападения на Беларусь**

__🔴____ «Есть ли желающие напасть на Беларусь? Открыто таких заявлений не звучит, но различные факторы свидетельствуют о том, что коллективный Запад проводит комплекс мероприятий заблаговременной подготовки к войне. Это и масштабная милитаризация. И масштабное развертывание собственных национальных вооруженных сил. Приближение к нашим границам группировок вооруженных сил НАТО и их наращивание. Это повышение оборонных бюджетов. Масштабный рост мероприятий оперативной и боевой подготовки наступательной направленности.

На общем фоне звучат соответствующие заявления различных политиков о том, что стоило бы вернуться к вопросам применения военной силы».__

🔥**О феномене тихой оккупации Европы**

__🔴____ «Молодые страны-члены НАТО, те, кто в альянсе менее трех десятков лет, являются своеобразным полигоном, где можно испытывать новые методики, виды вооружений, формы их применения, новые организационно-штатные структуры.

Сработает ли пятая статья НАТО? Я далек от мысли, что немцы готовы умирать за прибалтов, если вдруг что-то начнется. Но самое главное, многие из сегодняшних посылов надуманны и направлены на милитаризацию в угоду амбициям, предложениям, звучащим из-за океана. Президент США провернул уникальную операцию по милитаризации Европы. Он фактически посадил всю Европу на военную иглу американского военно-промышленного комплекса.

Неудивительно, если следующим вариантом будет сделка о том, что все должны перейти на американские стандарты оружия и развивать всё в интересах ВПК. Идет тихая милитаризация и тихая оккупация Европы со стороны Соединенных Штатов и их союзников».__

🔥**Об учениях «Запад-2025»**

__🔴____«Чтобы снизить напряженность, подтвердить свою приверженность мирным инициативам, реализовать комплекс мер доверия по политике безопасности вблизи границ, мы предприняли определенные шаги по удалению основных эпизодов учения от наших западных, южных границ, чтобы никого не провоцировать и не создавать условий для волнения. 

Кроме того, уменьшили численность, состав войск. Мы пригласили иностранных наблюдателей и готовы их допустить ознакомиться со всеми эпизодами и вариантами учения.

Вся эта шумиха вокруг учений «Запад-2025», фактически зеркально отражает ситуацию 15−17-летней давности. Думаю, все помнят «Запад-2009», где по всей Европе звонили в колокола, мол, сейчас произойдет российская агрессия на Европу и учение — это прикрытие, якобы сюда приехало 200 тысяч российских солдат, которые готовы наступать на Прибалтику. Но учение закончилось, российские войска уехали, наши подразделения вернулись в пункты постоянной дислокации.

А что произошло в самой Европе? Как бы реагируя на «Запад-2009», там появились батальонные тактические группы. И уже столько лет их количество только возрастает. Сегодня в Европе их 19, и 10 из них расположены непосредственно в сопредельных с нами странах».__

🔥**О современном облике Вооруженных Сил и перпективах подготовки войск**

__🔴____«Всё на поле боя все равно решает солдат. Артиллерия, танки, боевые машины — это средства обеспечения жизнедеятельности и функционирования солдата. Мы нашли нужный баланс между различными родами и видами войск. Беспилотная система — отдельное направление специальных войск в наших Вооруженных силах. Мы создали соответствующую вертикаль и развиваем ее.

Развиваем и такие направления, как инженерное обеспечение, радиационно-химическая и биологическая защита, РЭБ, артиллерия и контрбатарейная борьба, современные системы дальнего огневого поражения, поступившие на вооружение «Полонезы», «Искандеры».

Мы обучаем военных, будущих офицеров применению всех видов вооружений. Изучаем много вопросов в других странах, но большой упор делаем на опыт нашего стратегического союзника и партнера – России. Активно взаимодействуем с партнерами по ОДКБ. Есть чему поучиться фактически в каждой стране и есть чему поучиться у нас». __

👉 [Проголосовать за канал](https://t.me/boost/modmilby)",https://t.me/modmilby/48920
modmilby,2025-06-05 10:03:03+00:00,"📍**С 3 по 5 июня в Беларуси прошли вторые штабные переговоры по подготовке совместных учений ОДКБ, которые состоятся в сентябре 2025 года. **

🔸Обсуждались учения с Коллективными силами оперативного реагирования (КСОР) ОДКБ «Взаимодействие-2025», специальные учения с силами и средствами разведки «Поиск-2025» и с силами и средствами материально-технического обеспечения Войск (Коллективных сил) ОДКБ «Эшелон-2025», проводимых в рамках совместного оперативно-стратегического учения «Боевое братство-2025».  

🔸В штабных переговорах участвовали представители министерств обороны и ведомств Беларуси, Казахстана, Кыргызстана, России, Таджикистана, а также Секретариата Организации и Объединённого штаба ОДКБ.

🔸Стороны согласовали замыслы учений, увязанные с целями совместного стратегического учения вооруженных сил Республики Беларусь и Российской Федерации «Запад-2025», составы привлекаемых подразделений, порядок розыгрыша практических действий, вопросы управления и обеспечения. Проведена рекогносцировка полигонов «Лосвидо» и «Лепельский», где пройдут мероприятия. 

🔸КСОР ОДКБ созданы для оперативного реагирования на вызовы и угрозы безопасности государств – членов ОДКБ. 

Фото: Павел Матусевич, «Ваяр»

👉 [Проголосовать за канал](https://t.me/boost/modmilby)",https://t.me/modmilby/48184
